Course Code,Course Title,Skills and Competencies,Technical Skills,Power Skills,Programming Language and Digital Tools
CMPSC 100,Introduction to Computing,"Computing discipline awareness, Algorithm analysis, Evolution of computing systems, Operating system navigation, Web and internet fundamentals, Email and online communication protocols, Office productivity tools usage, Data representation using number systems, Truth table logic operations, Malware identification and removal, Computer security awareness, Networking fundamentals, CPU assembly and computer architecture concepts, Critical thinking, Problem solving, Collaboration, Cultural and global citizenship, Innovation,  creativity, Digital ethics awareness, Responsible netizenship, communication, Analytical reasoning, Personal growth and well-being
, Google Workspace, Microsoft Office Applications, Windows Command prompt, cmd, Basic networking setup utilities, CPU assembly, Canva, Weebly","algorithms, computer architecture, computer security, networking, operating system","analytical, collaboration, communication, creativity, critical thinking, discipline, innovation, logical reasoning, problem solving, productivity","assembly, canva, google workspace, microsoft office applications, weebly"
CMPSC 111,Computer Programming I,"Programming life cycle understanding, Algorithm formulation, Flowchart creation, Pseudocode design, C programming fundamentals, Variable declaration and expression handling, Mathematical function usage, Input/output operations, Lexical elements handling, Tokenization, Operator precedence, Conditional logic implementation, Loop structure creation, Function definition and usage, Argument passing, Code refactoring, Debugging techniques, Program testing and evaluation, Critical thinking, Problem solving, Logical reasoning, Innovation, creativity, Collaboration, Analytical thinking, Communication, presentation, detail oriented, C programming, Dev-C++, Flowcharting tools
","algorithms, debugging, programming","analytical, collaboration, communication, creativity, critical thinking, detail oriented, innovation, logical reasoning, logical thinking, problem solving","c, c++"
CMPSC 116,Database Systems,"Relational database modeling, Entity-Relationship modeling, Relational algebra operations, Relational calculus, SQL, SQL query formulation, Functional dependency analysis, Schema normalization, Decomposition and redundancy reduction, Transaction management, Concurrency control, Transaction scheduling and serializability, Stored procedures and triggers, CRUD application development, MySQL database creation, Graph database modeling, Cypher query language, NoSQL database concepts, In-memory database system awareness, Analytical thinking, Logical reasoning, Problem solving, Systematic thinking, Time management, Resourcefulness, Self-reliance, Openness to new ideas, Commitment to learning, Collaboration, teamwork, Communication, MySQL Workbench, SQL, Neo4j, XAMPP, SQLite, PHP, HTML, Javascript","application development, modeling, nosql databases, relational databases","analytical, collaboration, communication, logical reasoning, logical thinking, management, problem solving, resourcefulness, systematic thinking, teamwork, time management","html, java, javascript, mysql, mysql workbench, neo4j, nosql, php, sql, sqlite, xampp"
CMPSC 121,Digital Design,"Digital design, Number system conversions, Binary arithmetic operations, Floating-point representation, Boolean algebra, Logic gate design, Karnaugh map simplification, Tabulation method, NAND/NOR logic implementation, Combinational circuit design, Multilevel NAND/NOR implementation, MSI/LSI circuit design, Sequential circuit design, Flip-flop configuration and analysis, Clocked sequential circuit analysis, State reduction, Excitation table creation, Custom hardware block design, Digital system specification and implementation, Critical thinking, Logical reasoning, Problem solving, Creativity, innovation, collaboration, Systematic thinking, Resourcefulness, Time management, Self-reliance, communication, Logisim, TinkerCad",digital design,"collaboration, communication, creativity, critical thinking, innovation, logical reasoning, management, problem solving, resourcefulness, systematic thinking, time management",tinkercad
CMPSC 123,Operating Systems,"Operating system architecture, CPU scheduling algorithms, Memory management, Virtual memory concepts, Disk scheduling, File system and storage management, Process management and synchronization, Process control block handling, Deadlock detection, prevention, avoidance, and recovery, Bash scripting and command-line operations, Directory and file permissions, Regular expression usage, Stream manipulation, Terminal-based text editing, Critical thinking, Problem solving, Logical reasoning, Analytical decision-making, Systematic thinking, Time management, collaboration, detail oriented, Self-reliance, Ethical responsibility, Research and reporting skills, Linux shell scripting, Bash, VMware, Ubuntu Linux, Command-line interfaces","access control, algorithms, operating system, scripting, system architecture","analytical, collaboration, critical thinking, decision making, detail oriented, logical reasoning, management, problem solving, research, responsibility, systematic thinking, time management","bash, bash scripting, batch scripting, linux, shell scripting, vmware"
CMPSC 131,Data Structures,"Data structures design and implementation, Array operations and manipulation, Linked list creation and management, Stack operations and simulation, Queue operations and simulation, Tree structure creation, Tree traversal and rotation methods, Hash table implementation, Graph structure basics, Algorithm development and application, C++ data structure integration, Simulation of abstract data types, Software development life cycle familiarity, Data collection and processing using algorithms, Critical thinking, Problem solving, Logical reasoning, Innovation, creativity, Resourcefulness, Analytical skills, Collaboration, Communication, Time management, Systematic thinking, Real-world problem analysis and solution development, C++ programming, Object-Oriented Programming, Dev-C++, VSCode","algorithms, data structure, game development, object oriented programming, programming, simulation, software development, software development life cycle, web development","analytical, clarity, collaboration, communication, creativity, critical thinking, innovation, logical reasoning, management, problem solving, resourcefulness, systematic thinking, time management","c++, vs code"
CMPSC 132,Programming Languages,"Programming language evaluation, Syntax and semantics analysis, Formal grammar design, Attribute grammar application, Type binding and type checking, Variable scoping and referencing environments, Expression and assignment evaluation, Data type classification, Subprogram design and implementation, Parameter transmission and alias handling, Functional programming implementation, Logic programming, Business-oriented programming, Web scripting, Systems programming, Language paradigm analysis, Recursion application, Programming language comparison and selection, Critical thinking, Problem solving, Analytical reasoning, Creativity, innovation, Collaboration, Time management, Research skills, Information literacy,  Project presentation and documentation, Complexity management, C++, COBOL, Standard ML, Prolog, JavaScript, Python, Perl, C, Lisp, Java","it management, programming, programming languages, scripting","analytical, collaboration, creativity, critical thinking, documentation, innovation, logical reasoning, management, problem solving, research, time management","c, c++, cobol, java, javascript, lisp, perl, prolog, python"
CMPSC 134,Discrete Structures,"Discrete structure, Propositional and predicate logic, Logical equivalences and transformations, Truth table construction, Set theory operations, Venn diagram analysis, Function classification, Function composition and inverse, Algorithm analysis and complexity, Number theory, Matrix operations and applications, Mathematical proof techniques, Recursion in algorithm design, Program specification and verification, Probability theory fundamentals, Permutations and combinations, Graph theory, Tree traversal and sorting, Minimum spanning trees, Combinatorial optimization basics, Critical thinking, Problem solving, Analytical reasoning, Innovation, creativity, Logical structuring, Accuracy and detail oriented, Self-discipline, Collaboration, Communication, Time management","algorithms, it management","analytical, collaboration, communication, creativity, critical thinking, detail oriented, discipline, innovation, logical reasoning, management, problem solving, time management",
CMPSC 140,Systems Analysis & Design,"Systems analysis and design, System development life cycle, Requirements gathering and documentation, Business process analysis, Agile and iterative methodologies, Use case modeling, UML diagram creation, Data Flow Diagrams, Process specifications, Object-oriented analysis and design, Project feasibility analysis, Project management in software development, Human-computer interaction design, User interface design, Prototyping, Database normalization, Software quality assurance, Software standards and maturity models, Final system design and documentation, Critical thinking, Analytical reasoning, Problem solving, Communication and presentation skills, collaboration, detail oriented, Innovation, creativity, Decision making, Responsibility and accountability, Professionalism, Project leadership, Work ethic, Adaptability to software development trends, UML tools, Lucidchart, Draw.io, CASE tools, Project management software, Diagramming tools, Prototyping platforms
","computer literacy, game development, human computer interaction, it management, modeling, project management, prototyping, quality assurance, software development, system analysis, systems analysis, user interface design, web development","accountability, adaptability, analytical, collaboration, communication, creativity, critical thinking, decision making, detail oriented, documentation, innovation, leadership, logical reasoning, management, problem solving, professionalism, responsibility, work ethic","draw.io, lucidchart, uml"
CMPSC 148,Human Computer Interaction,"Human Computer Interaction, Human-centered design, Interaction design principles, Usability testing, Universal usability implementation, Interface evaluation, User experience (UX) assessment, Accessibility in design, User persona development, High- and medium-fidelity prototyping, Guidelines and heuristics for interface design, Application of cognitive and perceptual theories, UI and UX Design, Frontend Development, User interface design, User-centered design process, Legal and ethical considerations in HCI, Social impact analysis, Expert reviews, Survey design and administration, Acceptance testing, Iterative design process, Interaction model integration, HCI evaluation methods, Critical thinking, Analytical reasoning, Problem solving, Creativity and innovation, Teamwork, Logical reasoning, Openness to new ideas, Commitment to lifelong learning, Time management, Communication and documentation skills, User empathy, detail oriented, Systematic thinking, Figma, Balsamiq, Prototyping platforms, Canva, Diagramming and visualization software","computer literacy, frontend development, human computer interaction, modeling, prototyping, ui and ux design, user interface design, virtualization, web development","analytical, communication, creativity, critical thinking, detail oriented, documentation, empathy, innovation, logical reasoning, management, problem solving, systematic thinking, teamwork, time management","balsamiq, canva, figma"
